Country,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Birth Rate,CPI,CPI Change (%),Currency-Code,Fertility Rate,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population
Trinidad and Tobago,273,0.11,"5,128",12.94,141.75,0.01,TTD,1.73,24100202834,1.06,0.12,16.4,73.4,67,2.25,0.37,"1,394,973",0.6,0.2,0.41,0.03,"741,944"
Tunisia,76,0.65,"163,610",17.56,155.33,0.07,TND,2.2,38797709924,1.15,0.32,14.6,76.5,43,0.47,0.4,"11,694,719",0.46,0.21,0.61,0.16,"8,099,061"
Turkey,110,0.5,"783,562",16.03,234.44,0.15,TRY,2.07,7.54412E+11,0.93,0.24,9.1,77.4,17,3.45,0.17,"83,429,615",0.53,0.18,0.42,0.13,"63,097,818"
Uganda,229,0.72,"241,038",38.14,173.87,0.03,UGX,4.96,34387229486,1.03,0.05,33.8,63,375,0.01,0.41,"44,269,594",0.7,0.12,0.34,0.02,"10,784,516"
Ukraine,75,0.72,"603,550",8.7,281.66,0.08,UAH,1.3,1.53781E+11,0.99,0.83,7.5,71.6,19,0.84,0.48,"44,385,155",0.54,0.2,0.45,0.09,"30,835,699"
United Kingdom,281,0.72,"243,610",11,119.62,0.02,GBP,1.68,2.82711E+12,1.01,0.6,3.6,81.3,7,10.13,0.15,"66,834,405",0.63,0.26,0.31,0.04,"55,908,316"
United States,36,0.44,"9,833,517",11.6,117.24,0.08,USD,1.73,2.14277E+13,1.02,0.88,5.6,78.5,19,7.25,0.11,"328,239,523",0.62,0.1,0.37,0.15,"270,663,028"
Uruguay,20,0.83,"176,215",13.86,202.92,0.08,UYU,1.97,56045912952,1.09,0.63,6.4,77.8,17,1.66,0.16,"3,461,734",0.64,0.2,0.42,0.09,"3,303,394"
Vanuatu,25,0.15,"12,189",29.6,117.13,0.03,VUV,3.78,917058851,1.09,0.05,22.3,70.3,72,1.56,0.09,"299,882",0.7,0.18,0.09,0.04,"76,152"
Venezuela,32,0.25,"912,050",17.88,"2,740.27",2.55,VED,2.27,4.82359E+11,0.97,0.79,21.4,72.1,125,0.01,0.46,"28,515,829",0.6,,0.73,0.09,"25,162,368"
Vietnam,314,0.39,"331,210",16.75,163.52,0.03,VND,2.05,2.61921E+11,1.11,0.29,16.5,75.3,43,0.73,0.44,"96,462,106",0.77,0.19,0.38,0.02,"35,332,140"
Yemen,56,0.45,"527,968",30.45,157.58,0.08,YER,3.79,26914402224,0.94,0.1,42.9,66.1,164,0,0.81,"29,161,922",0.38,,0.27,0.13,"10,869,523"
Zambia,25,0.32,"752,618",36.19,212.31,0.09,ZMW,4.63,23064722446,0.99,0.04,40.4,63.5,213,0.24,0.28,"17,861,030",0.75,0.16,0.16,0.11,"7,871,713"
